date,close
2021-11-01,39.022277227722775
2021-11-02,38.721878862793574
2021-11-03,38.821975308641974
2021-11-04,37.520345252774355
2021-11-05,37.920812807881774
2021-11-08,37.720541205412054
2021-11-09,37.720515970515976
2021-11-10,37.62036809809854
2021-11-11,37.31997549019608
2021-11-12,36.619094247246025
2021-11-15,36.41882640586797
2021-11-16,37.219780219780226
2021-11-17,36.719146341463414
2021-11-18,37.72034104750305
2021-11-19,37.41995133819951
2021-11-22,36.318590522478736
2021-11-23,33.615291262135926
2021-11-24,34.61648484848485
2021-11-25,34.61646489104116
2021-11-26,34.916807738814995
2021-11-29,34.41618357487923
2021-11-30,33.91556090982475
2021-12-01,34.71650602409639
2021-12-02,34.81660649819494
2021-12-03,34.91670673076923
2021-12-06,33.41488595438175
2021-12-07,31.913069544364507
2021-12-08,32.413652694610775
2021-12-09,32.2133971291866
2021-12-10,32.51373954599761
2021-12-13,32.81408114558472
2021-12-14,33.41477949940405
2021-12-15,33.114404761904765
2021-12-16,32.51367419738407
2021-12-17,32.413539188975925
2021-12-20,32.61376037959668
2021-12-21,32.71386255924171
2021-12-22,32.51360946745562
2021-12-23,32.31335697142965
2021-12-24,31.612514754571556
2021-12-27,31.512382072079863
2021-12-28,32.41342756183745
2021-12-29,31.912823529411764
2021-12-30,31.812690951821388
2021-12-31,31.812676056338027
